,date_time,altimeter_set_1,wind_cardinal_direction_set_1d,weather_condition_set_1d,wind_gust_set_1,metar_set_1,ceiling_set_1,dew_point_temperature_set_1,cloud_layer_2_code_set_1,cloud_layer_3_code_set_1,dew_point_temperature_set_1d,visibility_set_1,cloud_layer_1_code_set_1,heat_index_set_1d,wind_direction_set_1,metar_origin_set_1,pressure_set_1d,relative_humidity_set_1,wind_speed_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
64,2018-08-03 18:55:00,101760.93,SW,Clear,,KO54 031855Z AUTO 23006KT 10SM CLR 27/03 A3005 RMK AO1,,3.0,,,3.04,10.0,1.0,26.31,230.0,1.0,93771.95,21.3,3.09,101305.15,27.0,KO54,2244,-122.92230,40.74600
65,2018-08-03 19:15:00,101727.07,SSW,Clear,,KO54 031915Z AUTO 21007KT 10SM CLR 28/03 A3004 RMK AO1,,3.0,,,3.07,10.0,1.0,26.75,210.0,1.0,93740.75,20.1,3.6,101245.65,28.0,KO54,2244,-122.92230,40.74600
66,2018-08-03 19:35:00,101693.2,WSW,Clear,,KO54 031935Z AUTO 24008KT 10SM CLR 29/00 A3003 RMK AO1,,0.0,,,0.11,10.0,1.0,27.38,240.0,1.0,93709.54,15.29,4.12,101186.4,29.0,KO54,2244,-122.92230,40.74600
67,2018-08-03 19:55:00,101693.2,W,Clear,,KO54 031955Z AUTO 26008KT 210V290 10SM CLR 30/M02 A3003 RMK AO1,,-2.0,,,-1.85,10.0,1.0,28.08,260.0,1.0,93709.54,12.47,4.12,101161.0,30.0,KO54,2244,-122.92230,40.74600
68,2018-08-03 20:15:00,101659.34,WSW,Clear,8.23,KO54 032015Z AUTO 25008G16KT 230V300 10SM CLR 30/M04 A3002 RMK AO1,,-4.0,,,-3.83,10.0,1.0,27.92,250.0,1.0,93678.34,10.74,4.12,101127.35,30.0,KO54,2244,-122.92230,40.74600
69,2018-08-03 20:35:00,101659.34,SSW,Clear,,KO54 032035Z AUTO 21007KT 10SM CLR 31/M04 A3002 RMK AO1,,-4.0,,,-3.79,10.0,1.0,28.64,210.0,1.0,93678.34,10.15,3.6,101102.1,31.0,KO54,2244,-122.92230,40.74600
70,2018-08-03 20:55:00,101659.34,WSW,Clear,8.23,KO54 032055Z AUTO 25006G16KT 220V300 10SM CLR 32/M12 A3002 RMK AO1,,-12.0,,,-11.64,10.0,1.0,28.99,250.0,1.0,93678.34,5.14,3.09,101077.11,32.0,KO54,2244,-122.92230,40.74600
71,2018-08-03 21:15:00,101659.34,W,Clear,,KO54 032115Z AUTO 26006KT 210V310 10SM CLR 33/M08 A3002 RMK AO1,,-8.0,,,-7.67,10.0,1.0,29.87,260.0,1.0,93678.34,6.68,3.09,101052.16,33.0,KO54,2244,-122.92230,40.74600
72,2018-08-03 21:35:00,101625.47,SW,Clear,7.72,KO54 032135Z AUTO 23010G15KT 10SM CLR 32/M06 A3001 RMK AO1,,-6.0,,,-5.74,10.0,1.0,29.25,230.0,1.0,93647.13,8.24,5.14,101043.37,32.0,KO54,2244,-122.92230,40.74600
73,2018-08-03 21:55:00,101625.47,WSW,Clear,8.23,KO54 032155Z AUTO 25008G16KT 220V280 10SM CLR 32/M05 A3001 RMK AO1,,-5.0,,,-4.76,10.0,1.0,29.31,250.0,1.0,93647.13,8.89,4.12,101043.36,32.0,KO54,2244,-122.92230,40.74600
74,2018-08-03 22:15:00,101591.61,WSW,Clear,7.72,KO54 032215Z AUTO 25010G15KT 160V300 10SM CLR 33/M05 A3000 RMK AO1,,-5.0,,,-4.72,10.0,1.0,30.05,250.0,1.0,93615.92,8.41,5.14,100984.79,33.0,KO54,2244,-122.92230,40.74600
75,2018-08-03 22:35:00,101591.61,W,Clear,9.77,KO54 032235Z AUTO 28010G19KT 10SM CLR 32/M07 A3000 RMK AO1,,-7.0,,,-6.73,10.0,1.0,29.19,280.0,1.0,93615.92,7.63,5.14,101009.71,32.0,KO54,2244,-122.92230,40.74600
76,2018-08-03 22:55:00,101591.61,W,Clear,8.23,KO54 032255Z AUTO 27009G16KT 10SM CLR 33/M08 A3000 RMK AO1,,-8.0,,,-7.67,10.0,1.0,29.87,270.0,1.0,93615.92,6.68,4.63,100984.82,33.0,KO54,2244,-122.92230,40.74600
77,2018-08-03 23:15:00,101557.75,SW,Clear,8.75,KO54 032315Z AUTO 23011G17KT 10SM CLR 32/M09 A2999 RMK AO1,,-9.0,,,-8.69,10.0,1.0,29.09,230.0,1.0,93584.72,6.53,5.66,100976.07,32.0,KO54,2244,-122.92230,40.74600
78,2018-08-03 23:35:00,101557.75,WSW,Clear,9.77,KO54 032335Z AUTO 25008G19KT 210V280 10SM CLR 32/M08 A2999 RMK AO1,,-8.0,,,-7.71,10.0,1.0,29.14,250.0,1.0,93584.72,7.06,4.12,100976.06,32.0,KO54,2244,-122.92230,40.74600
79,2018-08-03 23:55:00,101557.75,WSW,Clear,10.29,KO54 032355Z AUTO 25009G20KT 180V310 10SM CLR 32/M08 A2999 RMK AO1,,-8.0,,,-7.71,10.0,1.0,29.14,250.0,1.0,93584.72,7.06,4.63,100976.06,32.0,KO54,2244,-122.92230,40.74600
80,2018-08-04 00:15:00,101557.75,SW,Clear,9.26,KO54 040015Z AUTO 22010G18KT 10SM CLR 32/M06 A2999 RMK AO1,,-6.0,,,-5.74,10.0,1.0,29.25,220.0,1.0,93584.72,8.24,5.14,100976.03,32.0,KO54,2244,-122.92230,40.74600
81,2018-08-04 00:35:00,101557.75,WSW,Clear,8.75,KO54 040035Z AUTO 25012G17KT 200V270 10SM CLR 32/M03 A2999 RMK AO1,,-3.0,,,-2.79,10.0,1.0,29.46,250.0,1.0,93584.72,10.33,6.17,100975.99,32.0,KO54,2244,-122.92230,40.74600
82,2018-08-04 01:15:00,101557.75,SSW,,,KO54 040115Z AUTO 21009KT 170V270 30/00 A2999 RMK AO1,,0.0,,,0.13,,,28.14,210.0,1.0,93584.72,14.44,4.63,101026.22,30.0,KO54,2244,-122.92230,40.74600
83,2018-08-04 01:35:00,101557.75,SSW,,7.2,KO54 040135Z AUTO 21008G14KT 170V250 29/M01 A2999 RMK AO1,,-1.0,,,-0.88,,,27.37,210.0,1.0,93584.72,14.22,4.12,101051.64,29.0,KO54,2244,-122.92230,40.74600
84,2018-08-04 01:55:00,101557.75,SW,,,KO54 040155Z AUTO 22007KT 190V250 29/00 A2999 RMK AO1,,0.0,,,0.11,,,27.38,220.0,1.0,93584.72,15.29,3.6,101051.62,29.0,KO54,2244,-122.92230,40.74600
