,altimeter_set_1,wind_cardinal_direction_set_1d,cloud_layer_3_code_set_1,heat_index_set_1d,sea_level_pressure_set_1,sea_level_pressure_set_1d,cloud_layer_1_code_set_1,weather_condition_set_1d,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,precip_accum_one_hour_set_1,visibility_set_1,pressure_set_1d,pressure_tendency_set_1,metar_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,air_temp_high_6_hour_set_1,date_time,dew_point_temperature_set_1d,ceiling_set_1,dew_point_temperature_set_1,air_temp_low_24_hour_set_1,precip_accum_six_hour_set_1,metar_origin_set_1,weather_cond_code_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
52,101794.79,N,,,101660.0,101594.36,374.0,Haze,,,,3.0,89423.88,,KMHS 021256Z AUTO 00000KT 3SM HZ OVC037 12/08 A3006 RMK AO2 SLP166  T01220078,,74.5,0.0,12.2,,2018-08-02 12:56:00,7.76,1127.76,7.8,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
53,101794.79,N,,,,101594.34,334.0,Haze,,,,2.0,89423.88,,KMHS 021311Z AUTO 00000KT 2SM HZ OVC033 12/08 A3006 RMK AO2 T01220078,,76.52,0.0,12.2,,2018-08-02 13:11:00,8.15,1005.84,7.8,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
54,101794.79,N,,,101690.0,101594.36,354.0,Haze,,,,2.0,89423.88,,KMHS 021356Z AUTO 00000KT 2SM HZ OVC035 12/08 A3006 RMK AO2 SLP169  T01220078,,74.5,0.0,12.2,,2018-08-02 13:56:00,7.76,1066.8,7.8,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
55,101828.66,ENE,,,101700.0,101477.34,324.0,Haze,,,,2.0,89453.64,3003.0,KMHS 021456Z AUTO 06003KT 2SM HZ OVC032 16/09 A3007 RMK AO2 SLP170  T01560094 53003,,66.59,1.54,15.6,,2018-08-02 14:56:00,9.35,975.36,9.4,,,1.0,6.0,60.0,KMHS,3540,-122.31702,41.31494
56,101828.66,N,,,,101334.52,324.0,Haze,,,,3.0,89453.64,,SPECI KMHS 021524Z AUTO 00000KT 3SM HZ OVC032 19/10 A3007 RMK AO2 T01890100,,56.28,0.0,18.9,,2018-08-02 15:24:00,9.96,975.36,10.0,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
57,101828.66,NW,,,101700.0,101262.34,324.0,Haze,,,,3.0,89453.64,,KMHS 021556Z AUTO 32004KT 3SM HZ OVC032 21/09 A3007 RMK AO2 SLP170  T02060089,,47.05,2.06,20.6,,2018-08-02 15:56:00,8.86,975.36,8.9,,,1.0,6.0,320.0,KMHS,3540,-122.31702,41.31494
58,101862.52,,,,101700.0,101182.99,304.0,Haze,,,,3.0,89483.38,,KMHS 021656Z AUTO VRB03KT 3SM HZ OVC030 23/09 A3008 RMK AO2 SLP170  T02330094,,41.28,1.54,23.3,,2018-08-02 16:56:00,9.38,914.4,9.4,,,1.0,6.0,,KMHS,3540,-122.31702,41.31494
59,101828.66,,,,101700.0,101103.98,303.0,Haze,11.7,,,3.0,89453.64,1.0,KMHS 021756Z AUTO VRB04KT 3SM HZ BKN030 OVC036 24/09 A3007 RMK AO2  SLP170 T02440089 10250 20117 50001,364.0,37.37,2.06,24.4,25.0,2018-08-02 17:56:00,8.89,914.4,8.9,,,1.0,6.0,,KMHS,3540,-122.31702,41.31494
60,101828.66,,,26.31,101690.0,101010.15,334.0,Haze,,,,3.0,89453.64,,KMHS 021856Z AUTO 3SM HZ OVC033 27/09 A3007 RMK AO2 SLP169  T02670094,,33.72,,26.7,,2018-08-02 18:56:00,9.42,1005.84,9.4,,,1.0,6.0,,KMHS,3540,-122.31702,41.31494
61,101828.66,,,26.28,,101010.18,314.0,Haze,,,,2.5,89453.64,,KMHS 021914Z AUTO VRB03KT 2 1/2SM HZ OVC031 27/09 A3007 RMK AO2  T02670089,,32.61,1.54,26.7,,2018-08-02 19:14:00,8.92,944.88,8.9,,,1.0,6.0,,KMHS,3540,-122.31702,41.31494
62,101794.79,,,26.56,,100956.42,293.0,Haze,,,,2.5,89423.88,,KMHS 021938Z AUTO 2 1/2SM HZ BKN029 OVC036 27/08 A3006 RMK AO2  T02720083,364.0,30.41,,27.2,,2018-08-02 19:38:00,8.33,883.92,8.3,,,1.0,6.0,,KMHS,3540,-122.31702,41.31494
63,101794.79,N,,27.3,101620.0,100912.23,314.0,Haze,,,,2.5,89423.88,,KMHS 021956Z AUTO 00000KT 2 1/2SM HZ OVC031 28/09 A3006 RMK AO2  SLP162 T02830089,,29.7,0.0,28.3,,2018-08-02 19:56:00,8.94,944.88,8.9,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
64,101727.07,N,,28.61,101570.0,100777.52,304.0,Haze,,,,2.5,89364.39,8009.0,KMHS 022056Z AUTO 00000KT 2 1/2SM HZ OVC030 30/09 A3004 RMK AO2  SLP157 T03000094 58009,,27.85,0.0,30.0,,2018-08-02 20:56:00,9.47,914.4,9.4,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
65,101659.34,,,28.92,101520.0,100686.87,303.0,Haze,,,,2.5,89304.89,,KMHS 022156Z AUTO 2 1/2SM HZ BKN030 OVC036 31/08 A3002 RMK AO2  SLP152 T03060078,364.0,24.15,,30.6,,2018-08-02 21:56:00,7.89,914.4,7.8,,,1.0,6.0,,KMHS,3540,-122.31702,41.31494
66,101659.34,N,,28.83,,100686.93,304.0,Haze,,,,3.0,89304.89,,SPECI KMHS 022238Z AUTO 00000KT 3SM HZ OVC030 31/07 A3002 RMK AO2 T03060067,,22.4,0.0,30.6,,2018-08-02 22:38:00,6.8,914.4,6.7,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
67,101659.34,N,,29.34,101470.0,100667.25,324.0,Haze,,,,3.0,89304.89,,KMHS 022256Z AUTO 00000KT 3SM HZ OVC032 31/08 A3002 RMK AO2 SLP147  T03110078,,23.47,0.0,31.1,,2018-08-02 22:56:00,7.9,975.36,7.8,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
68,101591.61,N,,28.32,101440.0,100643.49,354.0,Haze,24.4,,,3.0,89245.39,6014.0,KMHS 022356Z AUTO 00000KT 3SM HZ OVC035 30/06 A3000 RMK AO2 SLP144  T03000061 10311 20244 56014,,22.24,0.0,30.0,31.1,2018-08-02 23:56:00,6.19,1066.8,6.1,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
