,road_subsurface_tmp_set_1,date_time,road_freezing_temp_set_1,wind_cardinal_direction_set_1d,road_temp_set_1,wind_gust_set_1,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
145,26.17,2018-08-02 12:31:00,0.0,,17.83,0.0,1.29,,,35.0,0.0,16.94,CRLNV,6422,-120.00341,39.23022
146,25.94,2018-08-02 12:47:00,0.0,,17.83,0.09,1.5,,,35.0,0.0,17.17,CRLNV,6422,-120.00341,39.23022
147,25.83,2018-08-02 13:02:00,0.0,,17.67,0.31,1.73,,,37.0,0.0,16.56,CRLNV,6422,-120.00341,39.23022
148,25.72,2018-08-02 13:17:00,0.0,,17.78,0.18,1.97,,,37.0,0.0,16.83,CRLNV,6422,-120.00341,39.23022
149,25.67,2018-08-02 13:32:00,0.0,,17.78,0.0,2.3,,,38.0,0.0,16.78,CRLNV,6422,-120.00341,39.23022
150,25.44,2018-08-02 13:47:00,0.0,,18.22,0.0,2.44,,,38.0,0.0,16.94,CRLNV,6422,-120.00341,39.23022
151,25.33,2018-08-02 14:02:00,0.0,,18.67,0.0,2.52,,,37.0,0.0,17.44,CRLNV,6422,-120.00341,39.23022
152,25.22,2018-08-02 14:17:00,0.0,,18.78,0.18,3.62,,,40.0,0.0,17.44,CRLNV,6422,-120.00341,39.23022
153,25.22,2018-08-02 14:32:00,0.0,,18.94,0.0,4.65,,,43.0,0.0,17.44,CRLNV,6422,-120.00341,39.23022
154,25.06,2018-08-02 14:47:00,0.0,E,18.17,0.8,4.63,,79.0,40.0,0.4,18.56,CRLNV,6422,-120.00341,39.23022
155,24.94,2018-08-02 15:02:00,0.0,E,19.78,0.8,3.27,,89.0,35.0,0.49,19.17,CRLNV,6422,-120.00341,39.23022
156,24.94,2018-08-02 15:17:00,0.0,ENE,20.44,0.72,-0.21,,65.0,27.0,0.09,19.33,CRLNV,6422,-120.00341,39.23022
157,24.94,2018-08-02 15:32:00,0.0,ENE,21.44,1.12,0.93,,72.0,28.0,0.58,20.06,CRLNV,6422,-120.00341,39.23022
158,24.78,2018-08-02 15:47:00,0.0,E,21.44,0.9,0.75,,85.0,27.0,0.4,20.44,CRLNV,6422,-120.00341,39.23022
159,24.56,2018-08-02 16:02:00,0.0,ESE,21.94,0.98,0.75,,116.0,27.0,0.31,20.44,CRLNV,6422,-120.00341,39.23022
160,24.44,2018-08-02 16:18:00,0.0,ESE,22.44,1.3,0.57,,103.0,26.0,0.31,20.83,CRLNV,6422,-120.00341,39.23022
161,24.67,2018-08-02 16:33:00,0.0,E,22.56,1.52,1.6,,83.0,28.0,0.49,20.83,CRLNV,6422,-120.00341,39.23022
162,24.56,2018-08-02 16:48:00,0.0,NNE,24.33,0.98,0.57,,27.0,26.0,0.31,20.83,CRLNV,6422,-120.00341,39.23022
163,24.33,2018-08-02 17:03:00,0.0,ENE,33.06,1.12,1.62,,59.0,27.0,0.49,21.44,CRLNV,6422,-120.00341,39.23022
164,24.56,2018-08-02 17:18:00,0.0,ESE,34.17,0.9,-0.17,,102.0,23.0,0.4,21.94,CRLNV,6422,-120.00341,39.23022
165,24.44,2018-08-02 17:33:00,0.0,E,37.28,0.8,2.72,,97.0,27.0,0.31,22.72,CRLNV,6422,-120.00341,39.23022
166,24.56,2018-08-02 17:48:00,0.0,SSE,33.94,1.3,2.19,,147.0,26.0,0.72,22.72,CRLNV,6422,-120.00341,39.23022
167,24.67,2018-08-02 18:03:00,0.0,N,30.17,1.79,-1.54,,8.0,18.0,0.8,24.28,CRLNV,6422,-120.00341,39.23022
168,24.83,2018-08-02 18:18:00,0.0,SSE,34.78,2.99,-7.45,,167.0,12.0,1.7,23.56,CRLNV,6422,-120.00341,39.23022
169,24.94,2018-08-02 18:33:00,0.0,S,41.44,3.89,-7.15,,178.0,12.0,1.52,23.94,CRLNV,6422,-120.00341,39.23022
170,25.17,2018-08-02 18:48:00,0.0,S,44.44,3.49,-8.56,,171.0,11.0,2.1,23.56,CRLNV,6422,-120.00341,39.23022
171,25.22,2018-08-02 19:03:00,0.0,SSE,46.33,3.49,-6.25,,162.0,13.0,1.7,23.78,CRLNV,6422,-120.00341,39.23022
172,25.44,2018-08-02 19:18:00,0.0,ESE,48.94,1.3,-2.27,,120.0,16.0,0.31,25.33,CRLNV,6422,-120.00341,39.23022
173,25.72,2018-08-02 19:33:00,0.0,S,50.22,3.49,-1.0,,171.0,18.0,1.79,24.94,CRLNV,6422,-120.00341,39.23022
174,26.06,2018-08-02 19:48:00,0.0,SSE,51.06,5.41,-1.17,,165.0,17.0,2.91,25.67,CRLNV,6422,-120.00341,39.23022
175,26.33,2018-08-02 20:03:00,0.0,S,52.28,3.71,-0.03,26.27,174.0,17.0,1.7,27.06,CRLNV,6422,-120.00341,39.23022
176,26.78,2018-08-02 20:18:00,0.0,S,53.17,5.59,-0.76,,174.0,17.0,2.68,26.17,CRLNV,6422,-120.00341,39.23022
177,27.17,2018-08-02 20:34:00,0.0,SSE,53.67,7.02,1.05,,167.0,20.0,3.71,25.67,CRLNV,6422,-120.00341,39.23022
178,27.67,2018-08-02 20:50:00,0.0,S,53.83,3.98,0.75,26.29,169.0,18.0,1.79,27.06,CRLNV,6422,-120.00341,39.23022
179,28.17,2018-08-02 21:05:00,0.0,S,53.67,6.48,-0.49,,172.0,18.0,4.2,25.56,CRLNV,6422,-120.00341,39.23022
